,Calories,Protein,Carbs,Fat,Sugar,Sodium,Serving
Apple pie,296,2.4g,43g,14g,20g,251mg,"1 piece (1/8 of 9"" dia)(125g)"
Baby back ribs,110,8g,2.2g,7.5g,1.8g,88mg,medium rib (40g)
Baklava,310,5.5g,29g,20g,16g,213mg,1 piece
Beef carpaccio,181,13g,2g,13g,0.7g,266mg,2 oz portion (78g)
Beef tartare,552,33g,5.7g,44g,1.8g,403mg,1 cup (224g)
Beet salad,598,11g,24g,52g,18g,577mg,1salad (about 2 cups) (259g)
Beignets,262,6g,40g,8.5g,7.7g,135mg,1piece (90g)
Bibimbap,1000,19g,107g,57g,18g,2670mg,"1
Serving (645g)"
Bread pudding,377,7.7g,72g,7.3g,55g,190mg,"
1
cup (200g)"
Breakfast burrito,657,29g,72g,28g,1.4g,1522mg,"
1
large burrito (388g)"
Bruschetta,72,1.3g,6.2g,4.9g,1g,103mg,"
1
piece (35g)"
Caesar salad,481,10g,23g,40g,4.9g,1152mg,"
1
salad (about 3 cups) (305g)"
Cannoli,233,6g,18g,15g,6.3g,37mg,"
1
cannoli (80g)"
Caprese salad,220,13g,4.7g,17g,2.8g,439mg,"
1
cup (161g)"
Carrot cake,577,6.6g,73g,30g,51g,415mg,"
1
piece (173g)"
Ceviche,82,15g,2.6g,1.3g,1g,436mg,"
0.5
cup (121g)"
Cheesecake,401,6.9g,32g,28g,27g,548mg,"
1
piece (1 NLEA serving) (125g)"
Cheese plate,662,45g,8.3g,50g,0.5g,1784mg,"
1
serving (about 6 oz) (170g)"
Chicken curry,243,28g,7.5g,11g,2g,73mg,"
1
cup (235g)"
Chicken quesadilla,1069,61g,92g,50g,6.3g,1815mg,"
1
quesadilla (494g)"
Chicken wings,88,4.5g,2.6g,6.5g,0.1g,105mg,"
1
wingette or drummette (27g)"
Chocolate cake,424,3.8g,58g,22g,44g,379mg,"
1
piece (109g)"
Chocolate mousse,455,8.4g,32g,32g,30g,77mg,"
0.5
cup (202g)"
Churros,103,0.5g,8.4g,7.7g,4.8g,44mg,"
1
churro (26g)"
Clam chowder,201,6.6g,21g,10g,0.6g,871mg,"
1
cup (254g)"
Club sandwich,817,56g,42g,46g,7.1g,1867mg,"
1
sandwich (349g)"
Crab cakes,362,23g,15g,23g,3g,1286mg,"
1
medium cake (210g)"
Creme brulee,687,8.3g,30g,60g,30g,54mg,"
1
ramekin (200g)"
Croque madame,721,37g,57g,38g,10g,1722mg,"
1
sandwich (363g)"
Cup cakes,292,2.6g,40g,15g,30g,261mg,"
1
cupcake (75g)"
Deviled eggs,68,3.2g,0.5g,5.8g,0.1g,69mg,"
1
half large egg (30g)"
Donuts,253,3.7g,29g,14g,14g,190mg,"
1
doughnut, medium (60g)"
Dumplings,74,2g,12g,1.7g,0.5g,271mg,"
1
medium dumpling (32g)"
Edamame,94,9.2g,6.9g,4g,1.7g,5mg,"
0.5
cup, shelled (78g)"
Eggs benedict,733,30g,30g,55g,1.2g,1946mg,"
1
serving (2 eggs) (282g)"
Escargots,77,14g,1.7g,1.2g,0g,60mg,"
3
oz (85g)"
Falafel,83,1.1g,3.7g,7.3g,0.6g,30mg,"
1
patty (approx 1-1/4"" dia) (20g)"
Filet mignon,227,22g,0g,15g,0g,46mg,"
3
oz (85g)"
Fish and chips,688,43g,71g,26g,2g,1403mg,"
1
serving (513g)"
Foie gras,60,1.5g,0.6g,5.7g,0g,91mg,"
1
tbsp (13g)"
French fries,365,4g,48g,17g,0.4g,246mg,"
1
serving medium (117g)"
French onion soup,478,21g,40g,24g,6.4g,815mg,"
1
crock (350g)"
French toast,219,7.3g,23g,11g,4g,237mg,"
1
slice without syrup (84g)"
Fried calamari,356,18g,37g,15g,0.1g,252mg,"
1
cup (143g)"
Fried rice,238,5.5g,45g,4.1g,0.8g,530mg,"
1
cup (137g)"
Frozen yogurt,221,5.2g,38g,6.3g,35g,110mg,"
1
cup (174g)"
Garlic bread,151,3.6g,18g,7.1g,1.6g,234mg,"
1
slice presliced (43g)"
Gnocchi,254,7.7g,52g,1.5g,0.8g,18mg,"
1
cup (127g)"
Greek salad,179,5.1g,7.4g,15g,4.2g,370mg,"
1
cup (159g)"
Grilled cheese sandwich,366,"12
g",28g,23g,5.4g,886mg,"
1
sandwich (106g)"
Grilled salmon,468,50g,0g,28g,0g,138mg,"
1
fillet (227g)"
Guacamole,45,0.6g,2.6g,4.1g,0.2g,127mg,"
2
tbsp (30g)"
Gyoza,79,3.5g,7.4g,3.8g,0.4g,140mg,"
1
piece (37g)"
Hamburger,540,34g,40g,27g,0g,791mg,"
1
sandwich (226g)"
Hot and sour soup,91,6g,10g,2.8g,1g,876mg,"
1
cup (233g)"
Hot dog,155,5.6g,1.3g,14g,0.6g,409mg,"
1
frankfurter (48g)"
Huevos rancheros,644,29g,39g,43g,5.2g,1561mg,"
1
serving (450g)"
Hummus,100,4.7g,8.6g,5.8g,0g,227mg,"
0.3
cup (60g)"
Ice cream,273,4.6g,31g,15g,28g,106mg,"
1
cup (132g)"
